X Y X' Y'
0 0.5735895487 0.01666666667 0.00474795489
0.083 0.553513286 0.01666666667 0.00465818831
0.166 0.4935225306 0.01666666667 0.006046791002
0.25 0.3966196745 0.01666666667 0.009095285955
0.333 0.2666442529 0.01666666667 0.01217405218
0.416 0.1170021309 0.01666666667 0.01498371039
0.5 -0.04354307116 0.01666666667 0.02000606865
0.583 -0.2022350654 0.01666666667 0.03432865982
0.666 -0.3443069774 0.01666666667 0.1237356124
0.75 -0.4666358774 0.01666666667 0.063459336
0.833 -0.5558786711 0.01666666667 0.01820545136
0.916 -0.610135466 0.01666666667 0.005472610149
1 -0.6213339857 0.01666666667 0.004930447545
1.083 -0.5918578733 0.01666666667 0.005235723325
1.166 -0.519465284 0.01666666667 0.0070663551
1.25 -0.4129546422 0.01666666667 0.008382139545
1.333 -0.2854773392 0.01666666667 0.009630677169
1.416 -0.1362110799 0.01666666667 0.009962896021
1.5 0.02385076931 0.01666666667 0.01069535949
1.583 0.1793605146 0.01666666667 0.01412608843
1.666 0.3195701355 0.01666666667 0.01692447606
1.75 0.4315703975 0.01666666667 0.02228552476
1.833 0.5100282518 0.01666666667 0.04596515995
1.916 0.5486504145 0.01666666667 0.01207754612
2 0.5430200236 0.01666666667 0.005993418073
2.083 0.4986926243 0.01666666667 0.009242665583
2.166 0.4130708893 0.01666666667 0.01046210925
2.25 0.2957801098 0.01666666667 0.0102276741
2.333 0.1555067393 0.01666666667 0.009507860561
2.416 0.0001918315282 0.01666666667 0.0004195417585
2.5 -0.1562299356 0.01666666667 0.009810298939
2.583 -0.3072793745 0.01666666667 0.0104460916
2.666 -0.4343307899 0.01666666667 0.01050754344
2.75 -0.5360333055 0.01666666667 0.009832103251
2.833 -0.6008549925 0.01666666667 0.007349872724
2.916 -0.6261587345 0.01666666667 0.004946414142
3 -0.6111024076 0.01666666667 0.03019737152
3.083 -0.5551400116 0.01666666667 0.05532776378
3.166 -0.4633006401 0.01666666667 0.02691601579
3.25 -0.3400446463 0.01666666667 0.01968133969
3.333 -0.1955100162 0.01666666667 0.01499426021
3.416 -0.03843741942 0.01666666667 0.0109200567
3.5 0.1155924446 0.01666666667 0.009810696603
3.583 0.2586618257 0.01666666667 0.00877622003
3.666 0.3790343511 0.01666666667 0.007548321481
3.75 0.4688127043 0.01666666667 0.005896703321
3.833 0.5218175669 0.01666666667 0.005152845804
3.916 0.568861097 0.01666666667 0.004727496532
4 0.5399564332 0.01666666667 0.007609392269
4.083 0.470020724 0.01666666667 0.02299107905
4.166 0.3625059277 0.01666666667 0.0828268264
4.25 0.2278032821 0.01666666667 0.09724820992
4.333 0.07546401354 0.01666666667 0.02742292981
4.416 -0.08288542004 0.01666666667 0.01803038856
4.5 -0.2379646701 0.01666666667 0.01392330894
4.583 -0.3711145553 0.01666666667 0.009985708999
4.666 -0.4839908164 0.01666666667 0.007379205918
4.75 -0.5619626566 0.01666666667 0.005106988659
4.833 -0.599437835 0.01666666667 0.004852240072
4.916 -0.5979789453 0.01666666667 0.00484669693
5 -0.5542942579 0.01666666667 0.006133543498
5.083 -0.4713639507 0.01666666667 0.01182998415
5.166 -0.3548379312 0.01666666667 0.01873620462
5.25 -0.216540857 0.01666666667 0.03344172781
5.333 -0.06315299959 0.01666666667 0.1252124323
5.416 0.09483144089 0.01666666667 0.08830605471
5.5 0.2424560862 0.01666666667 0.03110820084
5.583 0.3739521695 0.01666666667 0.01713963512
5.666 0.4732470824 0.01666666667 0.009223548196
5.75 0.5382172192 0.01666666667 0.0048727462
5.833 0.5631216068 0.01666666667 0.004702095886
5.916 0.5486287169 0.01666666667 0.004635206533
6 0.4927207298 0.01666666667 0.00590319037
6.083 0.3985252533 0.01666666667 0.00863282105
6.166 0.2747578565 0.01666666667 0.01137430248
6.25 0.1288520892 0.01666666667 0.014535824
6.333 -0.02535495761 0.01666666667 0.01822886805
6.416 -0.1794478904 0.01666666667 0.03514169156
6.5 -0.3207272406 0.01666666667 0.1421719038
6.583 -0.43965423 0.01666666667 0.07166159212
6.666 -0.527804195 0.01666666667 0.01577452225
6.75 -0.5795697161 0.01666666667 0.005073839237
6.833 -0.5899720254 0.01666666667 0.004815540739
6.916 -0.5587728428 0.01666666667 0.005145202268
7 -0.487966952 0.01666666667 0.006994979502
