X,Y,X',Y'
2032,1.9385470241633056,1,0.001075641314076281
1784,1.945202774,1,0.001350019072
1607,1.93600063,1,0.0005573213164
1366,1.964107139,1,0.0009055417812
1012,1.962451479,1,0.0008731539103
